steady_time_s,event,nav_enabled,rl_init_done,dt_ms,exec_ms,sdk_imu_stamp_ms,sdk_imu_stamp_delta_ms,imu_pub_dt_ms,imu_header_stamp_ms,imu_header_delta_ms,rl_tick_ms,rl_infer_ms,rl_total_ms,vision_tick_ms,vision_process_ms,nav_tick_ms,nav_vision_ms,nav_high_ms,nav_reset_ms,nav_model_reset_ms,nav_obs_build_ms,nav_state_copy_ms,nav_tensor_create_ms,nav_cat_ms,nav_hist_reset_insert_ms,nav_hist_get_ms,nav_to_device_ms,nav_to_cpu_ms,nav_post_ms,nav_log_ms,nav_publish_ms,nav_total_ms,udp_get_state_ms,nav_obs_hist_reset_ms,nav_obs_io_hist_reset_ms,nav_hf_reset_ms,nav_obs_hist_insert_ms,nav_obs_io_hist_insert_ms,nav_hf_insert_ms
71.133377,udp_recv,0,0,1.937920,0.000576,2067759.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000128,nan,nan,nan,nan,nan,nan
71.133445,imu_pub,0,0,4.865120,0.046400,2067759.000000,4.852160,4.865120,2045586.570304,4.852160,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.134442,control,0,0,4.873024,1.046336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.135383,udp_recv,0,0,2.005568,0.000864,2067759.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000096,nan,nan,nan,nan,nan,nan
71.137388,udp_recv,0,0,2.004352,0.000832,2067764.000000,5.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000256,nan,nan,nan,nan,nan,nan
71.138677,imu_pub,0,0,5.119488,0.156128,2067764.000000,5.135552,5.119488,2045591.705856,5.135552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.139419,udp_recv,0,0,2.031008,0.000960,2067764.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000288,nan,nan,nan,nan,nan,nan
71.141329,control,0,0,5.109696,2.818752,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.141413,udp_recv,0,0,1.991648,0.003648,2067764.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001472,nan,nan,nan,nan,nan,nan
71.143418,udp_recv,0,0,2.007712,0.001280,2067769.000000,5.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000224,nan,nan,nan,nan,nan,nan
71.143696,imu_pub,0,0,5.023744,0.152160,2067769.000000,5.024736,5.023744,2045596.730592,5.024736,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.145385,udp_recv,0,0,1.966688,0.000864,2067769.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000224,nan,nan,nan,nan,nan,nan
71.145726,control,0,0,5.024096,2.191296,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.147412,udp_recv,0,0,2.026848,0.001376,2067774.000000,5.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000288,nan,nan,nan,nan,nan,nan
71.148438,imu_pub,0,0,4.845216,0.051104,2067774.000000,4.829056,4.845216,2045601.559648,4.829056,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.149392,udp_recv,0,0,1.979936,0.001024,2067774.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000416,nan,nan,nan,nan,nan,nan
71.149413,control,0,0,4.854688,1.028864,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.151405,udp_recv,0,0,2.012672,0.000768,2067774.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000224,nan,nan,nan,nan,nan,nan
71.153392,udp_recv,0,0,1.987968,0.000608,2067779.000000,5.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000128,nan,nan,nan,nan,nan,nan
71.153628,imu_pub,0,0,5.082816,0.157120,2067779.000000,5.098976,5.082816,2045606.658624,5.098976,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.155389,udp_recv,0,0,1.996224,0.000896,2067779.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000256,nan,nan,nan,nan,nan,nan
71.156232,control,0,0,5.072640,2.770592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.157404,udp_recv,0,0,2.013024,0.003072,2067784.000000,5.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001504,nan,nan,nan,nan,nan,nan
71.158622,imu_pub,0,0,5.005568,0.144352,2067784.000000,5.004832,5.005568,2045611.663456,5.004832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.159390,udp_recv,0,0,1.988640,0.000992,2067784.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000224,nan,nan,nan,nan,nan,nan
71.160799,control,0,0,5.008832,2.328512,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.161381,udp_recv,0,0,1.990784,0.000704,2067784.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000224,nan,nan,nan,nan,nan,nan
71.163394,udp_recv,0,0,2.013344,0.000832,2067789.000000,5.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000192,nan,nan,nan,nan,nan,nan
71.163415,imu_pub,0,0,4.893536,0.044928,2067789.000000,4.877056,4.893536,2045616.540512,4.877056,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
